ts,lon,lat,speed,accel_z
2022-12-14 15:58:12.160000,10.016096597537398,53.57149126008153,8.071,-154
2022-12-14 15:58:12.200000,10.016096597537398,53.57149126008153,8.071,-130
2022-12-14 15:58:12.240000,10.016096597537398,53.57149126008153,8.071,-7
2022-12-14 15:58:12.280000,10.016096597537398,53.57149126008153,8.071,-338
2022-12-14 15:58:12.320000,10.016096597537398,53.57149126008153,8.071,263
2022-12-14 15:58:12.360000,10.016096597537398,53.57149126008153,8.071,-68
2022-12-14 15:58:12.400000,10.016096597537398,53.57149126008153,8.071,153
2022-12-14 15:58:12.440000,10.016096597537398,53.57149126008153,8.071,153
2022-12-14 15:58:12.480000,10.016096597537398,53.57149126008153,8.071,-363
2022-12-14 15:58:12.520000,10.016096597537398,53.57149126008153,8.071,79
2022-12-14 15:58:12.560000,10.016096597537398,53.57149126008153,8.071,91
2022-12-14 15:58:12.600000,10.016096597537398,53.57149126008153,8.071,140
2022-12-14 15:58:12.640000,10.016096597537398,53.57149126008153,8.071,79
2022-12-14 15:58:12.680000,10.016096597537398,53.57149126008153,8.071,-351
2022-12-14 15:58:12.720000,10.016096597537398,53.57149126008153,8.071,91
2022-12-14 15:58:12.760000,10.016096597537398,53.57149126008153,8.071,300
2022-12-14 15:58:12.800000,10.016096597537398,53.57149126008153,8.071,-130
2022-12-14 15:58:12.840000,10.016096597537398,53.57149126008153,8.071,-228
2022-12-14 15:58:12.880000,10.016096597537398,53.57149126008153,8.071,-191
2022-12-14 15:58:12.920000,10.016096597537398,53.57149126008153,8.071,128
2022-12-14 15:58:12.960000,10.016096597537398,53.57149126008153,8.071,227
2022-12-14 15:58:13,10.016146721318364,53.57142470777035,7.903,-388
2022-12-14 15:58:13.040000,10.016146721318364,53.57142470777035,7.903,251
2022-12-14 15:58:13.080000,10.016146721318364,53.57142470777035,7.903,-228
2022-12-14 15:58:13.120000,10.016146721318364,53.57142470777035,7.903,-179
2022-12-14 15:58:13.160000,10.016146721318364,53.57142470777035,7.903,374
2022-12-14 15:58:13.200000,10.016146721318364,53.57142470777035,7.903,79
2022-12-14 15:58:13.240000,10.016146721318364,53.57142470777035,7.903,-80
2022-12-14 15:58:13.280000,10.016146721318364,53.57142470777035,7.903,215
2022-12-14 15:58:13.320000,10.016146721318364,53.57142470777035,7.903,-228
2022-12-14 15:58:13.360000,10.016146721318364,53.57142470777035,7.903,239
2022-12-14 15:58:13.400000,10.016146721318364,53.57142470777035,7.903,-130
2022-12-14 15:58:13.440000,10.016146721318364,53.57142470777035,7.903,67
2022-12-14 15:58:13.480000,10.016146721318364,53.57142470777035,7.903,313
2022-12-14 15:58:13.520000,10.016146721318364,53.57142470777035,7.903,-105
2022-12-14 15:58:13.560000,10.016146721318364,53.57142470777035,7.903,18
2022-12-14 15:58:13.600000,10.016146721318364,53.57142470777035,7.903,-105
2022-12-14 15:58:13.640000,10.016146721318364,53.57142470777035,7.903,-7
2022-12-14 15:58:13.680000,10.016146721318364,53.57142470777035,7.903,-19
2022-12-14 15:58:13.720000,10.016146721318364,53.57142470777035,7.903,79
2022-12-14 15:58:13.760000,10.016146721318364,53.57142470777035,7.903,-68
2022-12-14 15:58:13.800000,10.016146721318364,53.57142470777035,7.903,67
2022-12-14 15:58:13.840000,10.016146721318364,53.57142470777035,7.903,-179
2022-12-14 15:58:13.880000,10.016146721318364,53.57142470777035,7.903,42
2022-12-14 15:58:13.920000,10.016146721318364,53.57142470777035,7.903,-339
2022-12-14 15:58:13.960000,10.016146721318364,53.57142470777035,7.903,460
2022-12-14 15:58:14,10.016195001080632,53.57134843245149,7.931,-424
2022-12-14 15:58:14.040000,10.016195001080632,53.57134843245149,7.931,-117
2022-12-14 15:58:14.080000,10.016195001080632,53.57134843245149,7.931,91
2022-12-14 15:58:14.120000,10.016195001080632,53.57134843245149,7.931,104
2022-12-14 15:58:14.160000,10.016195001080632,53.57134843245149,7.931,251
2022-12-14 15:58:14.200000,10.016195001080632,53.57134843245149,7.931,79
2022-12-14 15:58:14.240000,10.016195001080632,53.57134843245149,7.931,-31
2022-12-14 15:58:14.280000,10.016195001080632,53.57134843245149,7.931,-154
2022-12-14 15:58:14.320000,10.016195001080632,53.57134843245149,7.931,-179
2022-12-14 15:58:14.360000,10.016195001080632,53.57134843245149,7.931,386
2022-12-14 15:58:14.400000,10.016195001080632,53.57134843245149,7.931,67
2022-12-14 15:58:14.440000,10.016195001080632,53.57134843245149,7.931,-81
2022-12-14 15:58:14.480000,10.016195001080632,53.57134843245149,7.931,264
2022-12-14 15:58:14.520000,10.016195001080632,53.57134843245149,7.931,67
2022-12-14 15:58:14.560000,10.016195001080632,53.57134843245149,7.931,-93
2022-12-14 15:58:14.600000,10.016195001080632,53.57134843245149,7.931,177
2022-12-14 15:58:14.640000,10.016195001080632,53.57134843245149,7.931,67
2022-12-14 15:58:14.680000,10.016195001080632,53.57134843245149,7.931,-7
2022-12-14 15:58:14.720000,10.016195001080632,53.57134843245149,7.931,215
2022-12-14 15:58:14.760000,10.016195001080632,53.57134843245149,7.931,534
2022-12-14 15:58:14.800000,10.016195001080632,53.57134843245149,7.931,-142
2022-12-14 15:58:14.840000,10.016195001080632,53.57134843245149,7.931,-44
2022-12-14 15:58:14.880000,10.016195001080632,53.57134843245149,7.931,-7
2022-12-14 15:58:14.920000,10.016195001080632,53.57134843245149,7.931,239
2022-12-14 15:58:14.960000,10.016195001080632,53.57134843245149,7.931,-56
2022-12-14 15:58:15,10.016240766271949,53.57128280214965,7.856,-412
2022-12-14 15:58:15.040000,10.016240766271949,53.57128280214965,7.856,-44
2022-12-14 15:58:15.080000,10.016240766271949,53.57128280214965,7.856,411
2022-12-14 15:58:15.120000,10.016240766271949,53.57128280214965,7.856,214
2022-12-14 15:58:15.160000,10.016240766271949,53.57128280214965,7.856,-289
2022-12-14 15:58:15.200000,10.016240766271949,53.57128280214965,7.856,-7
2022-12-14 15:58:15.240000,10.016240766271949,53.57128280214965,7.856,-388
2022-12-14 15:58:15.280000,10.016240766271949,53.57128280214965,7.856,-707
2022-12-14 15:58:15.320000,10.016240766271949,53.57128280214965,7.856,374
2022-12-14 15:58:15.360000,10.016240766271949,53.57128280214965,7.856,-892
2022-12-14 15:58:15.400000,10.016240766271949,53.57128280214965,7.856,-142
2022-12-14 15:58:15.440000,10.016240766271949,53.57128280214965,7.856,951
2022-12-14 15:58:15.480000,10.016240766271949,53.57128280214965,7.856,-560
2022-12-14 15:58:15.520000,10.016240766271949,53.57128280214965,7.856,1712
2022-12-14 15:58:15.560000,10.016240766271949,53.57128280214965,7.856,-1703
2022-12-14 15:58:15.600000,10.016240766271949,53.57128280214965,7.856,79
2022-12-14 15:58:15.640000,10.016240766271949,53.57128280214965,7.856,-252
2022-12-14 15:58:15.680000,10.016240766271949,53.57128280214965,7.856,693
2022-12-14 15:58:15.720000,10.016240766271949,53.57128280214965,7.856,-732
2022-12-14 15:58:15.760000,10.016240766271949,53.57128280214965,7.856,497
2022-12-14 15:58:15.800000,10.016240766271949,53.57128280214965,7.856,18
2022-12-14 15:58:15.840000,10.016240766271949,53.57128280214965,7.856,779
2022-12-14 15:58:15.880000,10.016240766271949,53.57128280214965,7.856,-302
2022-12-14 15:58:15.920000,10.016240766271949,53.57128280214965,7.856,435
2022-12-14 15:58:15.960000,10.016240766271949,53.57128280214965,7.856,313
2022-12-14 15:58:16,10.016289129853249,53.57121951878071,7.8,30
2022-12-14 15:58:16.040000,10.016289129853249,53.57121951878071,7.8,214
2022-12-14 15:58:16.080000,10.016289129853249,53.57121951878071,7.8,-130
2022-12-14 15:58:16.120000,10.016289129853249,53.57121951878071,7.8,-252
2022-12-14 15:58:16.160000,10.016289129853249,53.57121951878071,7.8,362
2022-12-14 15:58:16.200000,10.016289129853249,53.57121951878071,7.8,-44
2022-12-14 15:58:16.240000,10.016289129853249,53.57121951878071,7.8,165
2022-12-14 15:58:16.280000,10.016289129853249,53.57121951878071,7.8,-437
2022-12-14 15:58:16.320000,10.016289129853249,53.57121951878071,7.8,116
2022-12-14 15:58:16.360000,10.016289129853249,53.57121951878071,7.8,141
2022-12-14 15:58:16.400000,10.016289129853249,53.57121951878071,7.8,165
2022-12-14 15:58:16.440000,10.016289129853249,53.57121951878071,7.8,190
2022-12-14 15:58:16.480000,10.016289129853249,53.57121951878071,7.8,-166
2022-12-14 15:58:16.520000,10.016289129853249,53.57121951878071,7.8,55
2022-12-14 15:58:16.560000,10.016289129853249,53.57121951878071,7.8,-81
2022-12-14 15:58:16.600000,10.016289129853249,53.57121951878071,7.8,67
2022-12-14 15:58:16.640000,10.016289129853249,53.57121951878071,7.8,411
2022-12-14 15:58:16.680000,10.016289129853249,53.57121951878071,7.8,-228
2022-12-14 15:58:16.720000,10.016289129853249,53.57121951878071,7.8,-363
2022-12-14 15:58:16.760000,10.016289129853249,53.57121951878071,7.8,165
2022-12-14 15:58:16.800000,10.016289129853249,53.57121951878071,7.8,436
2022-12-14 15:58:16.840000,10.016289129853249,53.57121951878071,7.8,436
2022-12-14 15:58:16.880000,10.016289129853249,53.57121951878071,7.8,-252
2022-12-14 15:58:16.920000,10.016289129853249,53.57121951878071,7.8,18
2022-12-14 15:58:16.960000,10.016289129853249,53.57121951878071,7.8,-167
2022-12-14 15:58:17,10.016330368816853,53.5711544752121,7.698,-68
2022-12-14 15:58:17.040000,10.016330368816853,53.5711544752121,7.698,129
2022-12-14 15:58:17.080000,10.016330368816853,53.5711544752121,7.698,18
2022-12-14 15:58:17.120000,10.016330368816853,53.5711544752121,7.698,104
2022-12-14 15:58:17.160000,10.016330368816853,53.5711544752121,7.698,116
2022-12-14 15:58:17.200000,10.016330368816853,53.5711544752121,7.698,202
2022-12-14 15:58:17.240000,10.016330368816853,53.5711544752121,7.698,-240
2022-12-14 15:58:17.280000,10.016330368816853,53.5711544752121,7.698,-117
2022-12-14 15:58:17.320000,10.016330368816853,53.5711544752121,7.698,226
2022-12-14 15:58:17.360000,10.016330368816853,53.5711544752121,7.698,-105
2022-12-14 15:58:17.400000,10.016330368816853,53.5711544752121,7.698,300
2022-12-14 15:58:17.440000,10.016330368816853,53.5711544752121,7.698,-252
2022-12-14 15:58:17.480000,10.016330368816853,53.5711544752121,7.698,116
2022-12-14 15:58:17.520000,10.016330368816853,53.5711544752121,7.698,-129
2022-12-14 15:58:17.560000,10.016330368816853,53.5711544752121,7.698,79
2022-12-14 15:58:17.600000,10.016330368816853,53.5711544752121,7.698,-166
2022-12-14 15:58:17.640000,10.016330368816853,53.5711544752121,7.698,67
2022-12-14 15:58:17.680000,10.016330368816853,53.5711544752121,7.698,190
2022-12-14 15:58:17.720000,10.016330368816853,53.5711544752121,7.698,-241
2022-12-14 15:58:17.760000,10.016330368816853,53.5711544752121,7.698,325
2022-12-14 15:58:17.800000,10.016330368816853,53.5711544752121,7.698,116
2022-12-14 15:58:17.840000,10.016330368816853,53.5711544752121,7.698,-19
2022-12-14 15:58:17.880000,10.016330368816853,53.5711544752121,7.698,79
2022-12-14 15:58:17.920000,10.016330368816853,53.5711544752121,7.698,300
2022-12-14 15:58:17.960000,10.016330368816853,53.5711544752121,7.698,-277
2022-12-14 15:58:18,10.016377307474613,53.57109387405217,7.642,-400
2022-12-14 15:58:18.040000,10.016377307474613,53.57109387405217,7.642,18
2022-12-14 15:58:18.080000,10.016377307474613,53.57109387405217,7.642,79
2022-12-14 15:58:18.120000,10.016377307474613,53.57109387405217,7.642,227
2022-12-14 15:58:18.160000,10.016377307474613,53.57109387405217,7.642,153
2022-12-14 15:58:18.200000,10.016377307474613,53.57109387405217,7.642,-179
2022-12-14 15:58:18.240000,10.016377307474613,53.57109387405217,7.642,190
2022-12-14 15:58:18.280000,10.016377307474613,53.57109387405217,7.642,-437
2022-12-14 15:58:18.320000,10.016377307474613,53.57109387405217,7.642,202
2022-12-14 15:58:18.360000,10.016377307474613,53.57109387405217,7.642,-265
2022-12-14 15:58:18.400000,10.016377307474613,53.57109387405217,7.642,18
2022-12-14 15:58:18.440000,10.016377307474613,53.57109387405217,7.642,374
2022-12-14 15:58:18.480000,10.016377307474613,53.57109387405217,7.642,-338
2022-12-14 15:58:18.520000,10.016377307474613,53.57109387405217,7.642,128
2022-12-14 15:58:18.560000,10.016377307474613,53.57109387405217,7.642,79
2022-12-14 15:58:18.600000,10.016377307474613,53.57109387405217,7.642,153
2022-12-14 15:58:18.640000,10.016377307474613,53.57109387405217,7.642,5
2022-12-14 15:58:18.680000,10.016377307474613,53.57109387405217,7.642,-277
2022-12-14 15:58:18.720000,10.016377307474613,53.57109387405217,7.642,325
2022-12-14 15:58:18.760000,10.016377307474613,53.57109387405217,7.642,-240
2022-12-14 15:58:18.800000,10.016377307474613,53.57109387405217,7.642,276
2022-12-14 15:58:18.840000,10.016377307474613,53.57109387405217,7.642,165
2022-12-14 15:58:18.880000,10.016377307474613,53.57109387405217,7.642,-105
2022-12-14 15:58:18.920000,10.016377307474613,53.57109387405217,7.642,264
2022-12-14 15:58:18.960000,10.016377307474613,53.57109387405217,7.642,42
2022-12-14 15:58:19,10.016423659399152,53.57102958485484,7.642,-412
2022-12-14 15:58:19.040000,10.016423659399152,53.57102958485484,7.642,116
2022-12-14 15:58:19.080000,10.016423659399152,53.57102958485484,7.642,177
2022-12-14 15:58:19.120000,10.016423659399152,53.57102958485484,7.642,-510
2022-12-14 15:58:19.160000,10.016423659399152,53.57102958485484,7.642,92
2022-12-14 15:58:19.200000,10.016423659399152,53.57102958485484,7.642,202
2022-12-14 15:58:19.240000,10.016423659399152,53.57102958485484,7.642,-154
2022-12-14 15:58:19.280000,10.016423659399152,53.57102958485484,7.642,276
2022-12-14 15:58:19.320000,10.016423659399152,53.57102958485484,7.642,-413
2022-12-14 15:58:19.360000,10.016423659399152,53.57102958485484,7.642,165
2022-12-14 15:58:19.400000,10.016423659399152,53.57102958485484,7.642,128
2022-12-14 15:58:19.440000,10.016423659399152,53.57102958485484,7.642,-560
2022-12-14 15:58:19.480000,10.016423659399152,53.57102958485484,7.642,681
2022-12-14 15:58:19.520000,10.016423659399152,53.57102958485484,7.642,79
2022-12-14 15:58:19.560000,10.016423659399152,53.57102958485484,7.642,116
2022-12-14 15:58:19.600000,10.016423659399152,53.57102958485484,7.642,6
2022-12-14 15:58:19.640000,10.016423659399152,53.57102958485484,7.642,276
2022-12-14 15:58:19.680000,10.016423659399152,53.57102958485484,7.642,-498
2022-12-14 15:58:19.720000,10.016423659399152,53.57102958485484,7.642,399
2022-12-14 15:58:19.760000,10.016423659399152,53.57102958485484,7.642,-252
2022-12-14 15:58:19.800000,10.016423659399152,53.57102958485484,7.642,5
2022-12-14 15:58:19.840000,10.016423659399152,53.57102958485484,7.642,42
2022-12-14 15:58:19.880000,10.016423659399152,53.57102958485484,7.642,460
2022-12-14 15:58:19.920000,10.016423659399152,53.57102958485484,7.642,-191
2022-12-14 15:58:19.960000,10.016423659399152,53.57102958485484,7.642,-93
2022-12-14 15:58:20,10.016465401276946,53.5709607694298,7.642,-1666
2022-12-14 15:58:20.040000,10.016465401276946,53.5709607694298,7.642,2191
2022-12-14 15:58:20.080000,10.016465401276946,53.5709607694298,7.642,693
2022-12-14 15:58:20.120000,10.016465401276946,53.5709607694298,7.642,-277
2022-12-14 15:58:20.160000,10.016465401276946,53.5709607694298,7.642,79
2022-12-14 15:58:20.200000,10.016465401276946,53.5709607694298,7.642,263
2022-12-14 15:58:20.240000,10.016465401276946,53.5709607694298,7.642,-535
2022-12-14 15:58:20.280000,10.016465401276946,53.5709607694298,7.642,91
2022-12-14 15:58:20.320000,10.016465401276946,53.5709607694298,7.642,251
2022-12-14 15:58:20.360000,10.016465401276946,53.5709607694298,7.642,472
2022-12-14 15:58:20.400000,10.016465401276946,53.5709607694298,7.642,-339
2022-12-14 15:58:20.440000,10.016465401276946,53.5709607694298,7.642,141
2022-12-14 15:58:20.480000,10.016465401276946,53.5709607694298,7.642,153
2022-12-14 15:58:20.520000,10.016465401276946,53.5709607694298,7.642,30
2022-12-14 15:58:20.560000,10.016465401276946,53.5709607694298,7.642,362
2022-12-14 15:58:20.600000,10.016465401276946,53.5709607694298,7.642,-547
2022-12-14 15:58:20.640000,10.016465401276946,53.5709607694298,7.642,-609
2022-12-14 15:58:20.680000,10.016465401276946,53.5709607694298,7.642,509
2022-12-14 15:58:20.720000,10.016465401276946,53.5709607694298,7.642,460
2022-12-14 15:58:20.760000,10.016465401276946,53.5709607694298,7.642,-7
2022-12-14 15:58:20.800000,10.016465401276946,53.5709607694298,7.642,165
2022-12-14 15:58:20.840000,10.016465401276946,53.5709607694298,7.642,-240
2022-12-14 15:58:20.880000,10.016465401276946,53.5709607694298,7.642,227
2022-12-14 15:58:20.920000,10.016465401276946,53.5709607694298,7.642,-142
